Вакансия;Ссылка;Компания;З/П;Тип работы
DevOps with Cloud (AWS/Azure/GCP) Experience;https://jobs.dev.by//vacancies/23347;DataArt;$3800—5500;В офисе
Middle/Senior Java Developer (Finance Apps);https://jobs.dev.by//vacancies/23658;Netpeak Group ;до $5500;Удалённо
Ruby on Rails Developer;https://jobs.dev.by//vacancies/23380;Social Discovery Ventures;до $5000;В офисе
.NET Developer;https://jobs.dev.by//vacancies/23352;DataArt ;$3500—4500;Удалённо
Node.JS Software Engineer;https://jobs.dev.by//vacancies/19725;Social Discovery Ventures ;до $4500;Удалённо
Senior .Net developer (финтех проект);https://jobs.dev.by//vacancies/23229;Social Discovery Ventures ;до $4500;Удалённо
Senior JS Developer (ReactJS/React Native);https://jobs.dev.by//vacancies/19959;Social Discovery Ventures ;до $4500;Удалённо
Senior Full Stack .NET developer;https://jobs.dev.by//vacancies/23294;InterLogic;$3200—4000;В офисе
Vue Fullstack Engineer/Developer;https://jobs.dev.by//vacancies/22005;Flatlogic LLC ;$1500—4000;Удалённо
Project Manager/Руководитель проектов;https://jobs.dev.by//vacancies/23577;Flatlogic LLC;$1000—4000;В офисе
Middle/Senior Product Manager (Tonti Laguna Mobile);https://jobs.dev.by//vacancies/23694;Netpeak Group ;до $4000;Удалённо
Senior Front-end Developer (ReactJS);https://jobs.dev.by//vacancies/23165;Social Discovery Ventures ;до $4000;Удалённо
Middle Python Back End Engineer;https://jobs.dev.by//vacancies/22677;EVO ;$2500—3500;Удалённо
Middle DevOps Engineer;https://jobs.dev.by//vacancies/23297;InterLogic;$2400—3500;В офисе
Middle Android Developer;https://jobs.dev.by//vacancies/23089;EVO ;$2500—3000;Удалённо
eCommerce Project Leader (senior);https://jobs.dev.by//vacancies/23293;Scandiweb Bel ;$1400—3000;Удалённо
Middle front-end developer;https://jobs.dev.by//vacancies/21714;Coinchange ;$1100—2500;Удалённо
Senior PHP & Web developer;https://jobs.dev.by//vacancies/23291;Scandiweb Bel ;$1400—2000;Удалённо
Graphic Designer;https://jobs.dev.by//vacancies/23411;Scandiweb Bel ;$400—2000;Удалённо
Lead AI Architect;https://jobs.dev.by//vacancies/22770;Exelentex ;от $7000;Удалённо
Senior AI/ML engineer;https://jobs.dev.by//vacancies/22772;Exelentex ;от $5000;Удалённо
Midlevel AI/ML engineer;https://jobs.dev.by//vacancies/22773;Exelentex ;от $3000;Удалённо
Junior Project Leader (Trainee);https://jobs.dev.by//vacancies/21931;Scandiweb Bel ;от $480;Удалённо
Junior Web Developer (Trainee);https://jobs.dev.by//vacancies/21919;Scandiweb Bel ;от $480;Удалённо
Junior React Developer;https://jobs.dev.by//vacancies/21920;Scandiweb Bel ;от $480;Удалённо
Customer Support Specialist;https://jobs.dev.by//vacancies/22266;Currency.com;от $400;В офисе
Junior QA Specialist: For Manual Web Based Application Testing;https://jobs.dev.by//vacancies/21932;Scandiweb Bel ;от $350;Удалённо
Senior Product Designer (mobile apps, Fintech);https://jobs.dev.by//vacancies/21327;Netpeak Group ;не указанa;Удалённо
PHP developer;https://jobs.dev.by//vacancies/22908;SpiralScout ;не указанa;Удалённо
Data Analyst (Middle, Senior);https://jobs.dev.by//vacancies/22430;21vek.by ;не указанa;Удалённо
DevOps Engineer;https://jobs.dev.by//vacancies/23218;Start Matter ;не указанa;Удалённо
